UID,Username,Email,Password,PhoneNumber,Address,Points,BankAccountNumber
1,admin123,ccpadmin123@phpbb.com,tR4/Jj*J,7658294343,Null,0,0
880328246,reckart1,ccatlin1@google.de,sR3%a!cD&q*LlU4|,5253887593,783 Hanover Junction,8080,9937204828
716720231,rantunez2,esambrok2@yandex.ru,zL0(6vyEX,6489511308,5 Carberry Avenue,9500,4544739810
832014801,rbockett3,gblezard3@google.com.hk,"cR4""$2L<#",2337837499,6 Blackbird Lane,8351,6700954347
767464816,jheavens4,rvandenbosch4@elpais.com,dW7%F/dq,5016731760,6 Dahle Drive,7621,1274478243
594211374,draincin5,pskittreal5@google.com.br,cR4{UkE7%b,1062717886,603 Mitchell Trail,621,96007346
541807593,jnewbigging6,mkilsby6@homestead.com,gQ0_36{zWkwzU!,8688017091,60 Granby Street,9870,2726619436
826871060,rmatthias7,gramelot7@hibu.com,bE1+m@gZZR?~,3272495424,9 Birchwood Parkway,2715,6885715360
773620552,ssampson8,aolenin8@newsvine.com,"lW1,vEl)Q'91",1992307739,3652 Doe Crossing Crossing,6368,9565241352
313951249,mmayou9,dforrestall9@furl.net,xX4=b<GHnW,1187007438,173 John Wall Street,6720,4962374672
606377600,xhuxhama,sbrumptona@ft.com,wO9<vY8%3tL@c,2908668998,8 Manufacturers Terrace,1321,4548383700
491839076,jgislebertb,etrembleb@si.edu,yU2'e!m~Zr<j,9065412335,4 Reindahl Street,1114,1614965889
979733178,lgrassotc,kwoollacottc@ibm.com,"tE0,hA'%$k~NI{LD",3615542522,8 Spaight Street,3919,5432223430
436152906,dfyndond,acorteneyd@symantec.com,bL3%$7)0T?f|(O,8761727710,55 Orin Avenue,4407,1750997711
811874665,jwillsheree,fornilse@smugmug.com,"cF3""op@cq7Z@G=aZ",7292386485,44320 Kipling Court,4064,8502687808
256243250,cdewickef,nvyef@ihg.com,nB2>bLr4UFfa8,3891133149,1 Twin Pines Lane,4470,5802237546
